Date,Close,High,Low,Open,Volume
2018-01-02,145.0581817626953,146.49052504094325,144.30380614331045,145.15366257224892,3168900
2018-01-03,146.88201904296875,147.03479123503877,145.29688916454262,145.42101565994028,3732400
2018-01-04,148.78221130371094,150.3004910984796,147.35942685236094,147.5694903809034,3247200
2018-01-05,151.86656188964844,151.86656188964844,149.14511867236342,149.15466238121047,2747700
2018-01-08,152.3256378173828,153.48287216913846,151.18752093392146,151.66572032404895,3143100
2018-01-09,152.5456085205078,153.1290123719433,151.62745925185175,152.68906250303803,2573900
2018-01-10,152.88987731933594,152.99508174669418,150.69973099603936,152.28734154505827,2416900
2018-01-11,153.90362548828125,154.10447556912146,152.4881599727007,153.11938640564867,2804000
2018-01-12,155.25222778320312,155.43394590049402,153.26291641486796,154.45841498284668,3041000
2018-01-16,155.2139892578125,156.79205638392526,154.27672231210028,156.50513376158742,4673400
2018-01-17,157.15542602539062,157.3275707696885,155.77820969706926,156.00773602279975,3136000
2018-01-18,158.26487731933594,158.74307674345218,156.95461556717368,157.64322390538015,4150600
2018-01-19,159.55599975585938,159.67076293201794,157.95881564921194,159.04910960317727,2947800
2018-01-22,160.94277954101562,160.9906023969332,159.0395407859942,159.31690459422424,2275900
2018-01-23,159.9003448486328,161.58360176869533,159.38388123661463,161.1532251543402,3035300
2018-01-24,159.72813415527344,160.77061978051626,158.71435391569386,160.61759249324396,3912400
2018-01-25,161.23922729492188,161.564399297979,159.84289359074302,160.68451438727422,2088900
2018-01-26,162.91297912597656,162.93211118944916,161.4305579668536,161.6409668845866,2191600
2018-01-29,161.2009735107422,163.3624289129056,160.95230055564187,162.70251159895977,3082800
2018-01-30,159.9003448486328,160.67502567317004,159.04915035588954,160.11075378782687,4227100
2018-01-31,161.6313934326172,162.27217886246294,159.73772793893218,160.20635400017719,5815300
2018-02-01,165.3900146484375,169.01477377242327,163.54417222411442,164.9883289591053,6848400
2018-02-02,163.11383056640625,169.3878048328492,162.98949404310846,164.40496028773555,6556500
2018-02-05,157.41368103027344,164.4623503803359,156.85896795376794,160.07246862882474,7196000
2018-02-06,161.8992156982422,161.9757293666943,149.9633606960203,153.50203394936366,7259900
2018-02-07,161.3731689453125,165.08400103988444,160.14897962218342,161.63140071310175,4364800
2018-02-08,153.61676025390625,161.8609272789797,153.46374754724835,161.41141870573438,6557700
2018-02-09,157.99703979492188,159.23080211437076,151.6561272415461,154.62095403274517,6303000
2018-02-12,160.856689453125,161.45922526570297,158.36048842121141,159.5272959284498,5227400
2018-02-13,162.7025604248047,163.32422840563024,159.72815955041986,160.034214173624,3471000
2018-02-14,164.9979248046875,165.13182005273904,161.63139694776464,161.97570109896685,4203700
2018-02-15,167.07327270507812,167.08283143736284,163.88846363614005,166.36553249193042,3915000
2018-02-16,167.99142456054688,168.96695531342317,166.54726778800827,166.7481179346392,4213100
2018-02-20,167.7045135498047,168.7374112768524,166.45161902664455,167.2550050049387,3750100
2018-02-21,164.80667114257812,168.66095767516248,164.76840701290322,167.70455874214423,5999500
2018-02-22,165.4091339111328,166.25076934375525,163.3528827714573,165.78212877904787,5605800
2018-02-23,168.09661865234375,168.1157507111989,164.96920562658164,166.31771660942616,3093800
2018-02-26,170.11465454101562,170.37288631025825,168.38357500060525,168.8043928190783,4088100
2018-02-27,168.25918579101562,171.35792227105898,168.25918579101562,169.97114732609376,3815900
2018-02-28,168.09661865234375,171.16666468851045,168.08705991965869,168.60350876086733,4145700
2018-03-01,165.92562866210938,169.61732851587385,164.6440432130712,168.66092974125598,4658500
2018-03-02,167.38890075683594,167.68538201214164,161.88960835678853,164.0797549088911,4190100
2018-03-05,170.7458953857422,171.45363582927888,165.3709382081871,166.537746040064,4826500
2018-03-06,169.78948974609375,172.2378685114496,169.23477665183523,171.36754203976008,3820900
2018-03-07,171.3961944580078,171.87439374386483,167.89577218309822,168.0966077108071,2766100
2018-03-08,171.43447875976562,172.04657338610286,169.8181625106989,171.53012447373493,2235300
2018-03-09,175.25054931640625,175.33662171969695,172.1231206554354,172.3909111946664,4168900
2018-03-12,174.5810089111328,175.518290126373,173.77763752105758,174.8583727011377,3589000
2018-03-13,173.1177215576172,175.71912716090986,172.29521810078955,175.47046875525905,3286600
2018-03-14,172.2665252685547,174.0645594537062,171.78832592939617,174.05500072057788,2820700
2018-03-15,173.0603790283203,174.22718686048782,172.1709350510966,172.6969573678097,2258200
2018-03-16,174.59060668945312,175.1835692851512,173.11774434121958,173.11774434121958,4605000
2018-03-19,172.70648193359375,174.35148889304122,171.30057465321147,173.863716207917,3770000
2018-03-20,174.55235290527344,175.26009332433185,173.31860478131492,173.40467717737255,2859300
2018-03-21,172.86904907226562,175.4991452545546,172.8594903398027,174.98269642534748,3238400
2018-03-22,167.86708068847656,172.40040055953392,167.47495377328434,171.3866204127318,4387300
2018-03-23,164.3380126953125,169.15825637694348,164.1754266454457,168.49833884934486,4324100
2018-03-26,169.44515991210938,169.73208244755327,165.51436057894125,167.68538976516683,5470100
2018-03-27,164.9979248046875,170.71718553358573,163.5155037483034,170.5832902855342,5069100
2018-03-28,162.92254638671875,165.39004252371114,161.2010255755129,164.73969832474893,5166600
2018-03-29,167.5227813720703,168.95737926430854,163.3720149729639,164.23276787091308,3719200
2018-04-02,164.11801147460938,168.1061920282116,161.6696187124032,167.02545690159445,4222400
2018-04-03,164.95010375976562,165.351789508337,162.40607942532603,164.84489930703353,3612600
2018-04-04,166.1168975830078,166.42293758768966,160.61760489099163,161.8035299751777,4628300
2018-04-05,168.13487243652344,169.7033655160903,166.9298008919583,167.49408714236642,3434100
2018-04-06,162.53199768066406,167.7517908879762,161.82326407300326,166.04697790818278,5005500
2018-04-09,163.14495849609375,166.73656121719972,162.95340927382188,164.03568357034786,3910700
2018-04-10,167.33999633789062,168.03915774768683,164.75404466507422,165.82673226522977,3149900
2018-04-11,165.07962036132812,168.18277001836069,164.84975255234775,166.3630160793673,2783000
2018-04-12,167.41659545898438,169.025626633269,165.8458682874954,166.0086858743501,3065600
2018-04-13,166.90896606445312,168.6616699493962,165.40527470750982,168.5658880309438,3059600
2018-04-16,166.52586364746094,168.66168072844334,165.66388478337637,168.20194502761305,4668200
2018-04-17,170.8070526123047,171.6211551144091,167.29207233192818,168.34561502709045,4210200
2018-04-18,171.87974548339844,172.20538062123225,169.59069794394736,170.96028876062604,3150600
2018-04-19,171.44871520996094,171.98507340775825,170.73039477896086,171.51576546503557,3560400
2018-04-20,169.60025024414062,171.9084568171957,169.0447473377041,170.98900020309839,4233000
2018-04-23,168.0199432373047,170.81661718625043,167.3207820572021,170.6346403250929,4355000
2018-04-24,165.92245483398438,170.05040076203142,163.959042642923,169.21713908611463,5369000
2018-04-25,165.18499755859375,166.52585676156255,163.44186598046508,166.04697638703522,3396200
2018-04-26,170.63461303710938,172.04252213175934,166.86103435426605,167.14836542518213,4784400
2018-04-27,168.50843811035156,171.43918383085276,167.78053054654023,170.99860743095275,3781000
2018-04-30,170.73997497558594,172.3968966121415,169.61939690131894,169.99292292607458,4323900
2018-05-01,172.6363525390625,172.74170679231167,169.43743556115814,170.73999059484464,4828300
2018-05-02,177.97113037109375,180.29848225063435,175.38516435257625,178.33506956090739,10133100
2018-05-03,178.60316467285156,179.95361041514442,176.17045955946273,176.80258496405912,5785700
2018-05-04,180.22183227539062,180.8156392430721,177.29108682109748,177.94235709348763,3593600
2018-05-07,181.11257934570312,181.51483714180557,179.70466975220933,180.34636775653493,4077300
2018-05-08,182.48214721679688,182.6066607858741,180.07817309175448,180.9114202343024,3396400
2018-05-09,182.57798767089844,183.58362504911227,181.0168325338538,182.46304641094883,2933900
2018-05-10,184.89566040039062,185.5373581572199,182.87478523784745,182.97055251563793,2821200
2018-05-11,185.18304443359375,185.89177802618192,183.92836559153517,184.84782232977514,3301700
2018-05-14,184.00498962402344,186.49517340634122,183.49737759839445,185.32670412848265,2877200
2018-05-15,183.8900604248047,184.08160964822673,182.1181972260456,182.94187203960246,2747500
2018-05-16,184.25404357910156,184.76165567858624,183.3537460096695,184.55094711492038,2109300
2018-05-17,183.12384033203125,184.31146884440244,182.539605728708,183.93794276124618,2378300
2018-05-18,182.35760498046875,183.9762226669459,182.34803263599403,183.5260740341055,4208500
2018-05-21,183.12384033203125,184.68499492755873,181.9841027768377,183.41117146082877,2632600
2018-05-22,183.5260772705078,184.50299715201305,182.77902518884696,183.10466027792648,2620200
2018-05-23,184.83824157714844,184.84781392295082,182.261862972271,182.6832800158705,2529900
2018-05-24,183.80384826660156,185.23090226968503,181.97452193342554,184.76160890835644,2912900
2018-05-25,183.09510803222656,183.7846968931914,181.70635796460257,183.65061098212982,2459600
2018-05-29,181.5243682861328,182.44382490728816,178.7181366975729,182.21395709843253,4545000
2018-05-30,183.66018676757812,183.82300433304027,181.8787512790993,182.38636328150153,2764200
2018-05-31,182.08944702148438,184.31145870674868,181.80213052275838,183.78468743530522,4641400
2018-06-01,187.11769104003906,187.11769104003906,183.79426045933693,183.9187740187564,4194900
2018-06-04,189.37802124023438,189.74197498687695,186.9836194634146,187.66363599830964,3917200
2018-06-05,190.93919372558594,191.27441585138703,189.47382087032068,189.74199272525354,2655500
2018-06-06,194.62657165527344,194.70317965598295,191.3318722825236,191.41806724402392,3233100
2018-06-07,191.1115264892578,195.38314481099067,189.9239128053014,194.78933796901248,4084100
2018-06-08,191.59046936035156,192.05977742661494,190.59440453077124,190.7859537732747,2296700
2018-06-11,190.10594177246094,192.5099160601345,189.8856462716105,192.13638994190205,2616900
2018-06-12,191.67665100097656,191.6957956924469,189.81859292957338,190.7093033537977,2660500
2018-06-13,190.987060546875,193.1037034639188,190.79551133388844,192.15552974464154,2686100
2018-06-14,190.8912811279297,192.88342512041427,190.64226860921974,192.1938362532362,2846900
2018-06-15,191.1020050048828,191.23609092792674,189.22480208226781,190.1634035435753,4162100
2018-06-18,192.63441467285156,192.94089049807673,189.0715436922141,189.29182456168238,2081300
2018-06-19,191.2552032470703,191.48505642194908,188.93742451002524,190.07716188301887,2666200
2018-06-20,193.02713012695312,194.86604396096624,191.79162496569347,192.03106519661193,3898600
2018-06-21,192.29920959472656,195.0767100305966,191.5329980424718,193.86036435369707,2678200
2018-06-22,192.9696044921875,193.34313054722287,191.1785968198726,193.05581405432426,2993600
2018-06-25,186.74417114257812,191.97355082539872,185.527825615267,191.92565986909693,4780600
2018-06-26,188.1616668701172,190.26873741243534,187.49122271251179,187.89348043851425,4271200
2018-06-27,185.02020263671875,189.82816538101156,185.00105794523776,189.11943182523885,3233000
