Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50,EMA_20,RSI,Volatility_20
2018-03-14,131.25897216796875,132.31241912709683,130.42947919772465,131.8893822688133,3879000,0.0001257977753092998,130.0418472290039,136.87441375732422,130.8711955881496,47.40354937226135,0.016094419057417854
2018-03-15,134.05445861816406,134.5023795844198,131.54938445047446,131.64893228736165,5925700,0.02129748849943769,130.1507537841797,136.69987243652344,131.17436349577002,49.24502189067151,0.01646617782024447
2018-03-16,134.67652893066406,135.39818403123672,134.02952518731004,134.27837570176845,14293800,0.0046404298589715065,130.25820541381836,136.5498062133789,131.50790306099802,49.66229599818975,0.016462522212308383
2018-03-19,131.89772033691406,134.67652785488718,131.2341358464096,134.37790977133503,4307600,-0.020633206215023736,130.34994659423828,136.32421630859375,131.54502851584715,48.88967326886241,0.016595439808109114
2018-03-20,132.20465087890625,133.27469170463414,132.0968126958329,132.511559360498,3105100,0.00232703447192395,130.4829978942871,136.09899536132812,131.60784969328134,53.00585912081495,0.01655884342724436
2018-03-21,131.60740661621094,133.05901985371506,131.30048549633582,132.71892457180468,3871900,-0.004517573767070848,130.52518997192382,135.86380859375,131.6078074954651,55.701134047793836,0.01648564798336623
2018-03-22,130.2635955810547,131.9889428105001,130.1060025182676,130.93549564836286,3669400,-0.010210755380014591,130.41694030761718,135.608173828125,131.4797873131403,71.7615901536529,0.016384085117061617
2018-03-23,128.55491638183594,130.8775010257304,128.5051487902708,130.71989521439545,3447400,-0.013117089172896002,130.12434158325195,135.31886077880858,131.2012281768256,60.15442605911374,0.016174843849493685
2018-03-26,131.0681915283203,131.22579723205322,129.57511417246192,129.57511417246192,3477000,0.019550206380434254,129.93597717285155,135.08179077148438,131.1885580198251,65.26219231902968,0.016855701786616488
2018-03-27,130.6286163330078,132.528163295985,129.79083256039343,131.4747031400957,3519100,-0.0033537900400305576,129.8459785461426,134.8329623413086,131.1352302401282,61.77298140153873,0.01641143755195635
2018-03-28,131.40003967285156,132.5198480590279,130.91064165243975,130.92722240573048,3913200,0.005905469731664281,129.8737663269043,134.59774810791015,131.16045018610185,59.66888105559508,0.016243175579867437
2018-03-29,129.7161865234375,132.57793632309273,129.7161865234375,131.88945525792994,5289500,-0.01281470807471885,129.90197143554687,134.30742645263672,131.0229012658481,47.82390934801997,0.016238112407091658
2018-04-02,130.8277130126953,132.85167913420122,128.77886309929107,131.2839369592751,6960100,0.008568911244218436,130.2939079284668,134.0460940551758,131.004311908405,49.95151084353272,0.011717884206333058
2018-04-03,133.05068969726562,133.15852785175693,130.47926865212355,131.04331789117884,4719400,0.016991634519779364,130.68252449035646,133.80366851806642,131.1992050311536,54.780592337755806,0.011610355041944763
2018-04-04,134.15394592285156,134.50233158496033,130.96040435832302,131.4746861466174,4888000,0.008291999298133845,131.1192527770996,133.5818243408203,131.48060892560102,57.237826450865185,0.011657416124235865
2018-04-05,135.99542236328125,136.50141377646077,134.1705396567047,134.70970523237625,4503900,0.0137265916985303,131.59911422729493,133.3869186401367,131.91059115776105,55.09575548001125,0.011847867371396313
2018-04-06,133.75579833984375,135.85441543456426,133.47377364770617,134.72630400895034,4321900,-0.016468378012421958,131.88155670166014,133.1585952758789,132.08632517510227,47.77197251381878,0.012427494784241672
2018-04-09,133.7392120361328,135.6802361345531,133.5981996825708,134.56041502612078,3581500,-0.0001240043715248218,132.04704055786132,132.93752380371095,132.2437429713909,55.14376315946502,0.011855698599789417
2018-04-10,135.01661682128906,136.00371579180208,134.41938068210575,135.06638439004396,3902600,0.009551460381052035,132.25565719604492,132.69748901367188,132.50782619519072,57.450608913481005,0.011993104105560166
2018-04-11,135.48948669433594,136.08672312141752,134.61022547031814,134.79271508176353,2711100,0.0035023087096959227,132.46800842285157,132.4766387939453,132.79179386177597,60.35423585335677,0.011996372478851393
2018-04-12,134.06271362304688,137.19819753069646,133.99635263498828,135.6968165649303,5178900,-0.010530507614276097,132.60819549560546,132.31446136474608,132.91283383903988,60.08831463933868,0.012300974285361255
2018-04-13,134.15394592285156,135.3401279063519,133.76408306493062,134.51063461836063,2452800,0.0006805195668440067,132.61316986083983,132.17619934082032,133.0310349898791,66.26503994695017,0.011348899544516572
2018-04-16,134.07102966308594,134.74291732889395,133.43231616599323,133.79729530718907,3115200,-0.0006180679904361774,132.58289489746093,132.02374938964843,133.13008210161308,60.15742422991164,0.011298935294336527
2018-04-17,134.8341522216797,135.60557499410135,134.4276959066115,134.701430242425,2861900,0.0056919273351703215,132.7297164916992,131.92810607910155,133.29237449400037,63.920967670245396,0.010276025061944383
2018-04-18,134.22035217285156,135.46459252447983,134.16229420478393,134.8673561431329,2503100,-0.004552259488523225,132.83050155639648,131.91135162353515,133.38075332055763,59.43411249966823,0.010349482776007694
2018-04-19,132.32907104492188,134.4608749964972,131.70695104214423,134.05441870480615,3276600,-0.014090866975926764,132.86658477783203,131.83484619140626,133.28059310383043,58.62062368856652,0.010819452122575861
2018-04-20,131.69866943359375,133.32446939447323,131.48299305108392,132.16318370813076,3961200,-0.004763893574935785,132.93833847045897,131.73699493408202,133.12993370666504,52.96774213674938,0.010606645679846588
2018-04-23,131.8811492919922,132.4617920924545,131.18436527437365,131.86455588138932,3051900,0.0013855861959974902,133.1046501159668,131.75390655517577,133.01100185764858,45.37117223536744,0.010103204598789366
2018-04-24,130.49591064453125,132.57793456795565,130.0313836983408,132.51157357564273,2904400,-0.010503689533323257,133.07603607177734,131.71294494628907,132.77146936116122,35.8382629715351,0.009464917534642809
2018-04-25,129.3511505126953,130.51243574025614,128.57971538098298,130.305062474116,3710200,-0.008772383181832044,133.0121627807617,131.5979833984375,132.44572470892638,22.81058656186505,0.009636656921250961
2018-04-26,131.80650329589844,132.271030256851,129.1106496007074,129.7825499228285,3680600,0.018982071465704742,133.03248596191406,131.55685577392578,132.3848464791142,42.16157047156116,0.010495678608492418
2018-04-27,131.3087921142578,132.59450926255872,131.23414075484337,132.28758813430494,4141500,-0.003776074542568564,133.11211624145508,131.54550506591798,132.28236511103265,40.590959570898605,0.010092327654409455
2018-04-30,138.89039611816406,139.3134332540917,135.8295630239741,136.60928895287594,12954700,0.05773873844874866,133.5152503967285,131.67276306152343,132.9117013974261,60.07770893605129,0.016238238992561226
2018-05-01,135.57240295410156,138.1106507260995,134.4608848388063,138.01111556862972,6560100,-0.0238892915334451,133.6413360595703,131.78295318603514,133.1651015456809,50.18789375047544,0.016956927768950684
2018-05-02,133.28297424316406,135.37330085412427,133.0839039563527,134.50233037813558,4318400,-0.01688712939397108,133.59778747558593,131.85774017333983,133.17632751686978,48.299541118021516,0.017323497818164304
2018-05-03,132.7852783203125,133.41568862114835,131.95578508692003,133.216618345654,3450100,-0.0037341297767227166,133.4372802734375,131.89817443847656,133.13908473624528,47.06719774941587,0.0170228295227088
2018-05-04,136.8913116455078,137.23969739755842,132.63600592927122,132.67748313579145,4283600,0.030922353570630667,133.59405593872071,131.98742889404298,133.49643967998458,55.154607549270395,0.018033320872796403
2018-05-07,136.86642456054688,138.77426210098588,136.57609677895564,138.33463156799306,3379000,-0.0001818017861161536,133.75041656494142,132.0366195678711,133.81739062099052,53.81738178862367,0.018033567505515803
2018-05-08,136.67562866210938,137.35580665649252,135.82954186498756,136.40189432606806,2808100,-0.0013940299752120966,133.83336715698243,132.07342254638672,134.08960376776375,54.68641783733185,0.01793604443100949
2018-05-09,136.23597717285156,137.0405866452182,135.24887817126387,136.86638749202987,2762500,-0.0032167511762080103,133.8706916809082,132.1495703125,134.294020282534,57.894642719494335,0.017944908988918193
