Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50,EMA_20,RSI,Volatility_20
2018-03-14,172.2665252685547,174.0645594537062,171.78832592939617,174.05500072057788,2820700,-0.004916863977898478,169.22232055664062,162.11923583984375,169.05944193613237,64.83237070530382,0.011313621215066984
2018-03-15,173.0603790283203,174.22718686048782,172.1709350510966,172.6969573678097,2258200,0.004608287991692217,169.62544326782228,162.67927978515624,169.4404835639598,61.69447582016452,0.011014698216312391
2018-03-16,174.59060668945312,175.1835692851512,173.11774434121958,173.11774434121958,4605000,0.008842160578432567,170.001309967041,163.23345153808594,169.93097148067343,60.79330036500648,0.010864477948523264
2018-03-19,172.70648193359375,174.35148889304122,171.30057465321147,173.863716207917,3770000,-0.010791673112235056,170.23706283569337,163.7119369506836,170.195305809523,60.70939873217721,0.011213898291080158
2018-03-20,174.55235290527344,175.26009332433185,173.31860478131492,173.40467717737255,2859300,0.01068790789444396,170.5794548034668,164.1656527709961,170.61026267578495,64.380062199412,0.011371937177084568
2018-03-21,172.86904907226562,175.4991452545546,172.8594903398027,174.98269642534748,3238400,-0.00964354707908932,170.98257369995116,164.57652099609376,170.8253851897355,65.80986634832266,0.010802229994598777
2018-03-22,167.86708068847656,172.40040055953392,167.47495377328434,171.3866204127318,4387300,-0.028935014166116324,171.10547103881837,164.8829504394531,170.54364190390132,50.93768738487612,0.01287036740060223
2018-03-23,164.3380126953125,169.15825637694348,164.1754266454457,168.49833884934486,4324100,-0.02102299020564502,170.91754074096679,165.11191314697265,169.95262959832144,37.51868718060896,0.013212196692123784
2018-03-26,169.44515991210938,169.73208244755327,165.51436057894125,167.68538976516683,5470100,0.03107709003555792,170.8840660095215,165.4227438354492,169.90429915201554,49.42266540996743,0.01479702708755044
2018-03-27,164.9979248046875,170.7171855335857,163.5155037483034,170.5832902855342,5069100,-0.02624586686175423,170.72100296020508,165.6176577758789,169.43702540465097,40.20508455334614,0.01575359650067049
2018-03-28,162.92254638671875,165.39004252371114,161.2010255755129,164.73969832474893,5166600,-0.012578209213391256,170.46229934692383,165.77182891845703,168.81659883151454,37.73435720360635,0.01597019765676723
2018-03-29,167.5227813720703,168.95737926430854,163.3720149729639,164.23276787091308,3719200,0.028235717445959096,170.5421569824219,165.97917602539061,168.69337812109129,39.11043241590504,0.01702980228010323
2018-04-02,164.11801147460938,168.1061920282116,161.6696187124032,167.02545690159445,4222400,-0.020324220202020737,170.37861251831055,166.0962387084961,168.25762891666443,36.31130788422894,0.017530497075453632
2018-04-03,164.95010375976562,165.351789508337,162.40607942532603,164.84489930703353,3612600,0.005070085103273225,170.0888229370117,166.20412078857422,167.9426265207693,39.13489686664093,0.01689928629640614
2018-04-04,166.1168975830078,166.42293758768966,160.61760489099163,161.8035299751777,4628300,0.007073616788635162,169.90519332885742,166.30760314941406,167.76874757431582,41.88747760623201,0.01697840683546156
2018-04-05,168.13487243652344,169.7033655160903,166.9298008919583,167.49408714236642,3434100,0.012147920427584724,169.74212722778321,166.47229370117188,167.80361660881178,43.70561436158388,0.017075463999944265
2018-04-06,162.53199768066406,167.7517908879762,161.82326407300326,166.04697790818278,5005500,-0.033323692311210795,169.29700317382813,166.5283709716797,167.3015576632739,36.0429009575501,0.0185513121030506
