Date,Close,High,Low,Open,Volume
2018-01-02,142.78152465820312,143.8201110539957,142.31993070451753,143.2019021708471,3696900
2018-01-03,142.17984008789062,143.12775557920688,141.775938989615,142.78979828743516,3789600
2018-01-04,143.17721557617188,143.53166197703038,142.3776641868466,142.7980543966438,2756400
2018-01-05,143.4656982421875,144.24876042614497,142.929909585537,143.42448179513843,3737700
2018-01-08,143.3667449951172,143.59755453276924,142.5424665438304,143.21014265446516,2060800
2018-01-09,143.0453338623047,143.6140882325669,142.60846711536334,143.6140882325669,2674300
2018-01-10,143.02056884765625,143.42446987116784,142.16332467677594,143.01233058992884,2172500
2018-01-11,142.92169189453125,143.8778582626962,141.85837784161194,143.06181777266818,3078000
2018-01-12,143.07003784179688,143.25136755642274,142.50128361446932,142.89693380750433,2901600
2018-01-16,143.16075134277344,143.76248398728308,142.5013382938551,143.11129662185434,3662600
2018-01-17,144.23226928710938,144.81751264092455,143.32557035235232,143.7129823096327,4129600
2018-01-18,143.8943328857422,144.6196895597558,143.34205511084775,144.4053816343077,2154800
2018-01-19,145.17196655273438,145.60059501595202,143.73772960571029,144.24054013636118,3746300
2018-01-22,145.24615478515625,145.7572035526833,144.75158253577894,145.04832336990637,3217900
2018-01-23,145.74070739746094,146.51553134778925,144.12512827240948,144.7186099119165,3197600
2018-01-24,145.17196655273438,146.14462199878648,144.45484807922233,146.14462199878648,2810800
2018-01-25,144.79278564453125,145.5840860776286,143.96850702318358,145.4027437747326,2815800
2018-01-26,147.0183563232422,147.05132193868897,144.2570175178693,144.80104450395694,3957700
2018-01-29,146.53199768066406,147.29857067574457,146.09513106631863,146.96886429500952,6091900
2018-01-30,142.1715850830078,146.44959350112603,140.82801936955352,145.97976118761596,9613000
2018-01-31,141.06704711914062,143.6717706617913,140.34992872117752,143.09477812449373,7004200
2018-02-01,141.6935272216797,143.04534401290437,139.2124524471902,140.34996126843305,4751300
2018-02-02,139.61631774902344,142.3776436006625,139.29484958786267,140.78679188908305,4604500
2018-02-05,135.05807495117188,139.6822791299029,126.82352590998377,138.98163717835462,7309300
2018-02-06,136.1543426513672,136.8714736363132,130.44209759029735,130.52453048707088,7020000
2018-02-07,136.5912322998047,138.69313297495512,135.61033861007041,135.89059035642447,4974000
2018-02-08,131.0355682373047,136.60768696840114,130.8624641995999,136.57472135895375,5656000
2018-02-09,132.5439910888672,133.51663372403763,127.9527536066854,131.86807665222958,7187100
2018-02-12,135.09922790527344,136.73954648773488,133.1209647297593,133.83808292982235,5255900
2018-02-13,133.86288452148438,135.0416098552563,133.30238092262599,134.3574568784162,5406000
2018-02-14,131.87632751464844,133.54961193668274,131.62079060337143,133.07152887645975,5865600
2018-02-15,132.52749633789062,133.13746695631278,130.90366668529336,132.82423710124576,5012100
2018-02-16,130.06289672851562,131.8021248364959,130.0381693801432,131.44769112482993,7165800
2018-02-20,129.5436248779297,131.1921820408125,128.8182557014635,129.41173728630073,5211100
2018-02-21,130.76356506347656,132.97263839473683,129.90632079809566,130.03819582373526,7833400
2018-02-22,132.4285888671875,133.0385469169824,130.9778506352603,131.01906707639313,4398200
2018-02-23,134.40689086914062,134.61296055649734,133.07156331986772,133.07156331986772,4272400
2018-02-26,134.83547973632812,135.7998840805908,133.7804042531608,135.18167520010252,4525200
2018-02-27,132.4285888671875,135.5938153373146,132.41209977523596,135.33829101077976,4907500
2018-02-28,130.8442840576172,133.72262696107066,130.82769064683302,133.0756105111272,6116800
2018-03-01,129.15208435058594,133.0755835102173,128.74564079682017,130.89402507463203,5609000
2018-03-02,122.98898315429688,124.79727259081339,121.80280107628067,123.5198583946293,11754300
2018-03-05,125.27835845947266,125.65162787245818,122.6986340707957,122.99725213259651,6397800
2018-03-06,125.41938018798828,125.8424298572049,124.53182896867051,125.46085738299854,5015400
2018-03-07,126.398193359375,126.69681145426024,124.158551319204,124.30786669517828,4492000
2018-03-08,128.10694885253906,128.24796119642556,126.62214873932413,126.6885097229878,4291400
2018-03-09,130.42953491210938,130.83597854062847,128.43874333890042,129.08574711950084,5076500
2018-03-12,130.8442840576172,132.26271058159773,130.65349147625903,130.8442840576172,4461500
2018-03-13,131.24246215820312,132.62771477987607,131.23417177977382,131.5244869095953,4333100
2018-03-14,131.25897216796875,132.31241912709683,130.42947919772465,131.8893822688133,3879000
2018-03-15,134.05445861816406,134.5023795844198,131.54938445047446,131.64893228736165,5925700
2018-03-16,134.67652893066406,135.39818403123672,134.02952518731004,134.27837570176843,14293800
2018-03-19,131.89772033691406,134.67652785488718,131.2341358464096,134.37790977133503,4307600
2018-03-20,132.20465087890625,133.27469170463414,132.0968126958329,132.511559360498,3105100
2018-03-21,131.60740661621094,133.05901985371506,131.30048549633582,132.71892457180468,3871900
2018-03-22,130.2635955810547,131.98894281050013,130.1060025182676,130.93549564836286,3669400
2018-03-23,128.55491638183594,130.8775010257304,128.5051487902708,130.71989521439545,3447400
2018-03-26,131.0681915283203,131.22579723205322,129.57511417246192,129.57511417246192,3477000
2018-03-27,130.6286163330078,132.528163295985,129.79083256039343,131.4747031400957,3519100
2018-03-28,131.40003967285156,132.5198480590279,130.91064165243975,130.92722240573048,3913200
2018-03-29,129.7161865234375,132.57793632309273,129.7161865234375,131.88945525792994,5289500
2018-04-02,130.8277130126953,132.85167913420122,128.77886309929107,131.2839369592751,6960100
2018-04-03,133.05068969726562,133.15852785175693,130.47926865212355,131.04331789117884,4719400
2018-04-04,134.15394592285156,134.50233158496033,130.96040435832302,131.4746861466174,4888000
2018-04-05,135.99542236328125,136.50141377646077,134.1705396567047,134.70970523237625,4503900
2018-04-06,133.75579833984375,135.85441543456426,133.47377364770617,134.72630400895034,4321900
2018-04-09,133.7392120361328,135.6802361345531,133.5981996825708,134.56041502612078,3581500
2018-04-10,135.01661682128906,136.00371579180208,134.41938068210575,135.06638439004396,3902600
2018-04-11,135.48948669433594,136.08672312141752,134.61022547031814,134.79271508176353,2711100
2018-04-12,134.06271362304688,137.19819753069646,133.99635263498828,135.6968165649303,5178900
2018-04-13,134.15394592285156,135.3401279063519,133.76408306493062,134.51063461836063,2452800
2018-04-16,134.07102966308594,134.74291732889395,133.43231616599323,133.79729530718907,3115200
2018-04-17,134.8341522216797,135.60557499410135,134.4276959066115,134.701430242425,2861900
2018-04-18,134.22035217285156,135.46459252447985,134.16229420478393,134.8673561431329,2503100
2018-04-19,132.32907104492188,134.4608749964972,131.70695104214425,134.05441870480615,3276600
2018-04-20,131.69866943359375,133.32446939447323,131.48299305108392,132.16318370813076,3961200
2018-04-23,131.8811492919922,132.4617920924545,131.18436527437365,131.86455588138932,3051900
2018-04-24,130.49591064453125,132.57793456795565,130.0313836983408,132.51157357564273,2904400
2018-04-25,129.3511505126953,130.51243574025614,128.57971538098298,130.305062474116,3710200
2018-04-26,131.80650329589844,132.271030256851,129.1106496007074,129.7825499228285,3680600
2018-04-27,131.3087921142578,132.59450926255872,131.23414075484337,132.28758813430494,4141500
2018-04-30,138.89039611816406,139.3134332540917,135.8295630239741,136.60928895287594,12954700
2018-05-01,135.57240295410156,138.1106507260995,134.46088483880627,138.01111556862972,6560100
2018-05-02,133.28297424316406,135.37330085412427,133.0839039563527,134.50233037813558,4318400
2018-05-03,132.7852783203125,133.41568862114835,131.95578508692003,133.216618345654,3450100
2018-05-04,136.8913116455078,137.23969739755842,132.63600592927122,132.67748313579145,4283600
2018-05-07,136.86642456054688,138.77426210098588,136.57609677895564,138.33463156799306,3379000
2018-05-08,136.67562866210938,137.35580665649252,135.82954186498756,136.40189432606806,2808100
2018-05-09,136.23597717285156,137.0405866452182,135.24887817126387,136.86638749202987,2762500
2018-05-10,136.92445373535156,137.39725829541408,136.2940307791852,136.41015932525866,1675100
2018-05-11,137.18984985351562,137.6792476968438,136.74192919253335,136.86634808251205,2258500
2018-05-14,136.63412475585938,137.6792816606851,136.30233252936102,137.405547378146,2537300
2018-05-15,135.2572021484375,136.57609371785549,134.65167546399263,136.26089480849467,3471300
2018-05-16,135.09957885742188,135.98714282383753,134.16225997183474,135.40650000598177,2522000
2018-05-17,133.8055877685547,135.3982136900631,133.32448004376585,134.9005252091912,2975500
2018-05-18,133.5318145751953,135.07467246563522,133.17513856715084,134.11245729588515,2318000
2018-05-21,133.9466094970703,134.35306587668904,133.22495418799477,134.19546008342735,2424000
2018-05-22,132.26272583007812,134.45258799469133,132.02217830276274,134.42770420417818,3224000
2018-05-23,134.06271362304688,134.08759741143584,132.02216703276792,132.47008788083315,3835100
2018-05-24,134.701416015625,134.87561517713138,133.08390661762255,133.63966560785605,3378000
2018-05-25,135.38162231445312,135.99543932508638,134.46088414143853,134.74290885751677,2582100
2018-05-29,133.2332000732422,134.97514093895194,132.89311746442732,134.734580811551,3197100
2018-05-30,134.22857666015625,134.46083371064753,133.3990835778131,133.88848145870116,2396500
2018-05-31,132.7272186279297,134.07100638327876,132.6691606784926,133.69772427192086,4881100
2018-06-01,132.86077880859375,133.6037167912976,132.74391258898177,133.47849479620163,3203800
2018-06-04,133.7456512451172,133.97104069078014,133.17800611112625,133.62878500245216,3174600
2018-06-05,133.1279296875,134.38842930683157,132.7105484069194,133.5369679279567,2952300
2018-06-06,135.5487060546875,135.55704909218306,133.00267849774178,133.38666202192664,3586200
2018-06-07,141.47552490234375,141.90960490737362,136.64225631615875,136.69234002107314,8342500
2018-06-08,140.99974060058594,143.2118561881558,140.62410001330534,141.09156498747367,5056600
2018-06-11,138.9795684814453,141.10820198139615,138.7875639972651,141.10820198139615,3246500
2018-06-12,139.17996215820312,139.6056992283102,138.7625808659201,139.2551004712884,2985300
2018-06-13,139.05471801757812,139.91452224521188,139.02967616531407,139.39697364847083,3140500
2018-06-14,139.4470672607422,140.1900053181086,139.13819649843524,139.4387114844185,2390000
2018-06-15,138.9545440673828,139.0714102849347,137.39352983744976,138.65402911689765,7384400
2018-06-18,138.8042755126953,139.05470675251095,136.74241159357038,138.17820378188722,4297700
2018-06-19,137.71070861816406,138.16147456065147,137.10133583411985,137.41853677977429,3350400
2018-06-20,135.69895935058594,138.17820443530684,135.54035247337063,137.66065587804593,3649500
2018-06-21,134.00440979003906,136.5671365243651,133.17799041167265,136.30834947561016,4655800
2018-06-22,137.3601531982422,137.85265994911455,134.61377781463403,134.62213359047254,8703600
2018-06-25,133.40341186523438,136.0663066530651,132.68551550468274,136.0663066530651,6126800
